Session,Session Date,Session Title / Poster Group,Start Time,Stop Time,# of Papers,Session Chairs,Session Order,Poster ID,Paper ID,Title (Corrected),Authors (Corrected)
,,,,,,,21,21a,8330,Deep Safe Multi-View Clustering: Reducing the Risk of Clustering Performance Degradation Caused by View Increase,Huayi Tang; Yong Liu
,,,,,,,22,22a,9551,Hypergraph-Induced Semantic Tuplet Loss for Deep Metric Learning,Jongin Lim; Sangdoo Yun; Seulki Park; Jin Young Choi
,,,,,,,23,23a,10484,Towards Robust and Reproducible Active Learning Using Neural Networks,Prateek Munjal; Nasir Hayat; Munawar Hayat; Jamshid Sourati; Shadab Khan
,,,,,,,24,24a,7082,Non-Iterative Recovery From Nonlinear Observations Using Generative Models,Jiulong Liu; Zhaoqiang Liu
,,,,,,,25,25a,11093,Gaussian Process Modeling of Approximate Inference Errors for Variational Autoencoders,Minyoung Kim
,,,,,,,26,26a,4542,Robust Combination of Distributed Gradients Under Adversarial Perturbations,Kwang In Kim
,,,,,,,27,27a,11143,Do Learned Representations Respect Causal Relationships?,Lan Wang; Vishnu Naresh Boddeti
,,,,,,,28,28a,11220,How Much More Data Do I Need? Estimating Requirements for Downstream Tasks,Rafid Mahmood; James Lucas; David Acuna; Daiqing Li; Jonah Philion; Jose M. Alvarez; Zhiding Yu; Sanja Fidler; Marc T. Law
,,,,,,,29,29a,8156,Pushing the Envelope of Gradient Boosting Forests via Globally-Optimized Oblique Trees,Magzhan Gabidolla; Miguel Á. Carreira-Perpiñán
,,,,,,,30,30a,11131,Contrastive Test-Time Adaptation,Dian Chen; Dequan Wang; Trevor Darrell; Sayna Ebrahimi
,,,,,,,31,31a,448,"AutoSDF: Shape Priors for 3D Completion, Reconstruction and Generation",Paritosh Mittal; Yen-Chi Cheng; Maneesh Singh; Shubham Tulsiani
,,,,,,,32,32a,1561,Selective-Supervised Contrastive Learning With Noisy Labels,Shikun Li; Xiaobo Xia; Shiming Ge; Tongliang Liu
,,,,,,,33,33a,7807,RecDis-SNN: Rectifying Membrane Potential Distribution for Directly Training Spiking Neural Networks,Yufei Guo; Xinyi Tong; Yuanpei Chen; Liwen Zhang; Xiaode Liu; Zhe Ma; Xuhui Huang
,,,,,,,34,34a,3279,Hierarchical Nearest Neighbor Graph Embedding for Efficient Dimensionality Reduction,Saquib Sarfraz; Marios Koulakis; Constantin Seibold; Rainer Stiefelhagen
,,Statistical Methods,,,,,35,35a,3348,Scalable Penalized Regression for Noise Detection in Learning With Noisy Labels,Yikai Wang; Xinwei Sun; Yanwei Fu
,,,,,,,36,36a,7912,Nested Hyperbolic Spaces for Dimensionality Reduction and Hyperbolic NN Design,Xiran Fan; Chun-Hao Yang; Baba C. Vemuri
,,,,,,,37,37a,8877,Learning Structured Gaussians To Approximate Deep Ensembles,Ivor J. A. Simpson; Sara Vicente; Neill D. F. Campbell
,,,,,,,38,38a,11673,Out-of-Distribution Generalization With Causal Invariant Transformations,Ruoyu Wang; Mingyang Yi; Zhitang Chen; Shengyu Zhu
,,,,,,,39,39a,8393,Split Hierarchical Variational Compression,Tom Ryder; Chen Zhang; Ning Kang; Shifeng Zhang
,,,,,,,40,40a,9244,Implicit Feature Decoupling With Depthwise Quantization,Iordanis Fostiropoulos; Barry Boehm
,,,,,,,41,41a,282,Understanding Uncertainty Maps in Vision With Statistical Testing,Jurijs Nazarovs; Zhichun Huang; Songwong Tasneeyapant; Rudrasis Chakraborty; Vikas Singh
,,Optimization Methods,,,,,42,42a,785,A Hybrid Quantum-Classical Algorithm for Robust Fitting,Anh-Dzung Doan; Michele Sasdelli; David Suter; Tat-Jun Chin
,,,,,,,43,43a,5911,A Scalable Combinatorial Solver for Elastic Geometrically Consistent 3D Shape Matching,Paul Roetzer; Paul Swoboda; Daniel Cremers; Florian Bernard
,,,,,,,44,44a,6021,FastDOG: Fast Discrete Optimization on GPU,Ahmed Abbas; Paul Swoboda
,,,,,,,45,45a,9232,Data-Free Network Compression via Parametric Non-Uniform Mixed Precision Quantization,Vladimir Chikin; Mikhail Antiukh
,,,,,,,46,46a,10092,AdaSTE: An Adaptive Straight-Through Estimator To Train Binary Neural Networks,Huu Le; Rasmus Kjær Høier; Che-Tsung Lin; Christopher Zach
,,,,,,,47,47a,11171,Training Quantised Neural Networks With STE Variants: The Additive Noise Annealing Algorithm,Matteo Spallanzani; Gian Paolo Leonardi; Luca Benini
,,,,,,,48,48a,2028,AME: Attention and Memory Enhancement in Hyper-Parameter Optimization,Nuo Xu; Jianlong Chang; Xing Nie; Chunlei Huo; Shiming Xiang; Chunhong Pan
,,,,,,,49,49a,9259,Accelerating Neural Network Optimization Through an Automated Control Theory Lens,Jiahao Wang; Baoyuan Wu; Rui Su; Mingdeng Cao; Shuwei Shi; Wanli Ouyang; Yujiu Yang
,,,,,,,50,50a,11189,Efficient Maximal Coding Rate Reduction by Variational Forms,Christina Baek; Ziyang Wu; Kwan Ho Ryan Chan; Tianjiao Ding; Yi Ma; Benjamin D. Haeffele
,,,,,,,51,51a,10155,A Unified Framework for Implicit Sinkhorn Differentiation,Marvin Eisenberger; Aysim Toker; Laura Leal-Taixé; Florian Bernard; Daniel Cremers
,,,,,,,52,52a,6845,Computing Wasserstein-p Distance Between Images With Linear Cost,Yidong Chen; Chen Li; Zhonghua Lu
,,,,,,,53,53a,9064,An Iterative Quantum Approach for Transformation Estimation From Point Sets,Natacha Kuete Meli; Florian Mannel; Jan Lellmann
,,Deep Learning Architectures & Techniques,,,,,54,54a,10146,BoosterNet: Improving Domain Generalization of Deep Neural Nets Using Culpability-Ranked Features,Nourhan Bayasi; Ghassan Hamarneh; Rafeef Garbi
,,,,,,,55,55a,8071,Pooling Revisited: Your Receptive Field Is Suboptimal,Dong-Hwan Jang; Sanghyeok Chu; Joonhyuk Kim; Bohyung Han
,,,,,,,56,56a,11136,Why Discard if You Can Recycle?: A Recycling Max Pooling Module for 3D Point Cloud Analysis,Jiajing Chen; Burak Kakillioglu; Huantao Ren; Senem Velipasalar
,,,,,,,57,57a,1004,Online Convolutional Re-Parameterization,Mu Hu; Junyi Feng; Jiashen Hua; Baisheng Lai; Jianqiang Huang; Xiaojin Gong; Xian-Sheng Hua
,,,,,,,58,58a,8687,RepMLPNet: Hierarchical Vision MLP With Re-Parameterized Locality,Xiaohan Ding; Honghao Chen; Xiangyu Zhang; Jungong Han; Guiguang Ding
,,,,,,,59,59a,5157,DyRep: Bootstrapping Training With Dynamic Re-Parameterization,Tao Huang; Shan You; Bohan Zhang; Yuxuan Du; Fei Wang; Chen Qian; Chang Xu
,,,,,,,60,60a,4285,Quarantine: Sparsity Can Uncover the Trojan Attack Trigger for Free,Tianlong Chen; Zhenyu Zhang; Yihua Zhang; Shiyu Chang; Sijia Liu; Zhangyang Wang
,,,,,,,61,61a,10877,Condensing CNNs With Partial Differential Equations,Anil Kag; Venkatesh Saligrama
,,,,,,,62,62a,11243,Deep Equilibrium Optical Flow Estimation,Shaojie Bai; Zhengyang Geng; Yash Savani; J. Zico Kolter
,,,,,,,63,63a,5431,Frame Averaging for Equivariant Shape Space Learning,Matan Atzmon; Koki Nagano; Sanja Fidler; Sameh Khamis; Yaron Lipman
,,,,,,,64,64a,6448,Dual-Generator Face Reenactment,Gee-Sern Hsu; Chun-Hung Tsai; Hung-Yi Wu
,,,,,,,65,65a,9677,Convolution of Convolution: Let Kernels Spatially Collaborate,Rongzhen Zhao; Jian Li; Zhenzhi Wu
,,,,,,,66,66a,10599,SASIC: Stereo Image Compression With Latent Shifts and Stereo Attention,Matthias Wödlinger; Jan Kotera; Jan Xu; Robert Sablatnig
,,,,,,,67,67a,8650,RADU: Ray-Aligned Depth Update Convolutions for ToF Data Denoising,Michael Schelling; Pedro Hermosilla; Timo Ropinski
,,,,,,,68,68a,10057,Co-Domain Symmetry for Complex-Valued Deep Learning,Utkarsh Singhal; Yifei Xing; Stella X. Yu
,,,,,,,69,69a,9315,Paramixer: Parameterizing Mixing Links in Sparse Factors Works Better Than Dot-Product Self-Attention,Tong Yu; Ruslan Khalitov; Lei Cheng; Zhirong Yang
,,,,,,,70,70a,8072,Compressing Models With Few Samples: Mimicking Then Replacing,Huanyu Wang; Junjie Liu; Xin Ma; Yang Yong; Zhenhua Chai; Jianxin Wu
,,,,,,,71,71a,6006,Total Variation Optimization Layers for Computer Vision,Raymond A. Yeh; Yuan-Ting Hu; Zhongzheng Ren; Alexander G. Schwing
,,,,,,,72,72a,7739,AIM: An Auto-Augmenter for Images and Meshes,Vinit Veerendraveer Singh; Chandra Kambhamettu
,,,,,,,73,73a,9247,Recurrent Variational Network: A Deep Learning Inverse Problem Solver Applied to the Task of Accelerated MRI Reconstruction,George Yiasemis; Jan-Jakob Sonke; Clarisa Sánchez; Jonas Teuwen
,,,,,,,74,74a,9110,Deep Orientation-Aware Functional Maps: Tackling Symmetry Issues in Shape Matching,Nicolas Donati; Etienne Corman; Maks Ovsjanikov
,,,,,,,75,75a,9012,Weakly-Supervised Metric Learning With Cross-Module Communications for the Classification of Anterior Chamber Angle Images,Jingqi Huang; Yue Ning; Dong Nie; Linan Guan; Xiping Jia
,,,,,,,76,76a,5015,Delving Into the Estimation Shift of Batch Normalization in a Network,Lei Huang; Yi Zhou; Tian Wang; Jie Luo; Xianglong Liu
,,,,,,,77,77a,5022,Generalizing Interactive Backpropagating Refinement for Dense Prediction Networks,Fanqing Lin; Brian Price; Tony Martinez
,,,,,,,78,78a,4734,Brain-Inspired Multilayer Perceptron With Spiking Neurons,Wenshuo Li; Hanting Chen; Jianyuan Guo; Ziyang Zhang; Yunhe Wang
,,,,,,,79,79a,10921,Smooth Maximum Unit: Smooth Activation Function for Deep Networks Using Smoothing Maximum Technique,Koushik Biswas; Sandeep Kumar; Shilpak Banerjee; Ashish Kumar Pandey
,,,,,,,80,80a,2588,Revisiting Weakly Supervised Pre-Training of Visual Perception Models,Mannat Singh; Laura Gustafson; Aaron Adcock; Vinicius de Freitas Reis; Bugra Gedik; Raj Prateek Kosaraju; Dhruv Mahajan; Ross Girshick; Piotr Dollár; Laurens van der Maaten
,,,,,,,81,81a,4609,On the Integration of Self-Attention and Convolution,Xuran Pan; Chunjiang Ge; Rui Lu; Shiji Song; Guanfu Chen; Zeyi Huang; Gao Huang
,,,,,,,82,82a,4331,Hire-MLP: Vision MLP via Hierarchical Rearrangement,Jianyuan Guo; Yehui Tang; Kai Han; Xinghao Chen; Han Wu; Chao Xu; Chang Xu; Yunhe Wang
,,,,,,,83,83a,2532,Stable Long-Term Recurrent Video Super-Resolution,Benjamin Naoto Chiche; Arnaud Woiselle; Joana Frontera-Pons; Jean-Luc Starck
,,,,,,,84,84a,4623,Single-Domain Generalized Object Detection in Urban Scene via Cyclic-Disentangled Self-Distillation,Aming Wu; Cheng Deng
,,,,,,,85,85a,2121,Progressive End-to-End Object Detection in Crowded Scenes,Anlin Zheng; Yuang Zhang; Xiangyu Zhang; Xiaojuan Qi; Jian Sun
,,,,,,,86,86a,11674,Zero-Shot Text-Guided Object Generation With Dream Fields,Ajay Jain; Ben Mildenhall; Jonathan T. Barron; Pieter Abbeel; Ben Poole
,,"Recognition: Detection, Categorization, Retrieval",,,,,87,87a,5728,ISNet: Shape Matters for Infrared Small Target Detection,Mingjin Zhang; Rui Zhang; Yuxiang Yang; Haichen Bai; Jing Zhang; Jie Guo
,,,,,,,88,88a,5283,Pseudo-Stereo for Monocular 3D Object Detection in Autonomous Driving,Yi-Nan Chen; Hang Dai; Yong Ding
,,,,,,,89,89a,3689,CLRNet: Cross Layer Refinement Network for Lane Detection,Tu Zheng; Yifei Huang; Yang Liu; Wenjian Tang; Zheng Yang; Deng Cai; Xiaofei He
,,,,,,,90,90a,10590,CAT-Det: Contrastively Augmented Transformer for Multi-Modal 3D Object Detection,Yanan Zhang; Jiaxin Chen; Di Huang
,,,,,,,91,91a,4894,Modality-Agnostic Learning for Radar-Lidar Fusion in Vehicle Detection,Yu-Jhe Li; Jinhyung Park; Matthew O'Toole; Kris Kitani
,,,,,,,92,92a,2814,Group Contextualization for Video Recognition,Yanbin Hao; Hao Zhang; Chong-Wah Ngo; Xiangnan He
,,,,,,,93,93a,4126,Learning Transferable Human-Object Interaction Detector With Natural Language Supervision,Suchen Wang; Yueqi Duan; Henghui Ding; Yap-Peng Tan; Kim-Hui Yap; Junsong Yuan
,,,,,,,94,94a,2333,Accelerating DETR Convergence via Semantic-Aligned Matching,Gongjie Zhang; Zhipeng Luo; Yingchen Yu; Kaiwen Cui; Shijian Lu
,,,,,,,95,95a,2216,Efficient Video Instance Segmentation via Tracklet Query and Proposal,Jialian Wu; Sudhir Yarram; Hui Liang; Tian Lan; Junsong Yuan; Jayan Eledath; Gérard Medioni
,,,,,,,96,96a,5021,Class Re-Activation Maps for Weakly-Supervised Semantic Segmentation,Zhaozheng Chen; Tan Wang; Xiongwei Wu; Xian-Sheng Hua; Hanwang Zhang; Qianru Sun
,,,,,,,97,97a,2682,Democracy Does Matter: Comprehensive Feature Mining for Co-Salient Object Detection,Siyue Yu; Jimin Xiao; Bingfeng Zhang; Eng Gee Lim
,,,,,,,98,98a,6425,C2AM: Contrastive Learning of Class-Agnostic Activation Map for Weakly Supervised Object Localization and Semantic Segmentation,Jinheng Xie; Jianfeng Xiang; Junliang Chen; Xianxu Hou; Xiaodong Zhao; Linlin Shen
,,,,,,,99,99a,1409,Sketching Without Worrying: Noise-Tolerant Sketch-Based Image Retrieval,Ayan Kumar Bhunia; Subhadeep Koley; Abdullah Faiz Ur Rahman Khilji; Aneeshan Sain; Pinaki Nath Chowdhury; Tao Xiang; Yi-Zhe Song
,,,,,,,100,100a,4180,AutoLoss-Zero: Searching Loss Functions From Scratch for Generic Tasks,Hao Li; Tianwen Fu; Jifeng Dai; Hongsheng Li; Gao Huang; Xizhou Zhu
,,,,,,,101,101a,11620,Consistency Learning via Decoding Path Augmentation for Transformers in Human Object Interaction Detection,Jihwan Park; SeungJun Lee; Hwan Heo; Hyeong Kyu Choi; Hyunwoo J. Kim
,,,,,,,102,102a,4212,A Proposal-Based Paradigm for Self-Supervised Sound Source Localization in Videos,Hanyu Xuan; Zhiliang Wu; Jian Yang; Yan Yan; Xavier Alameda-Pineda
,,,,,,,103,103a,4249,SimAN: Exploring Self-Supervised Representation Learning of Scene Text via Similarity-Aware Normalization,Canjie Luo; Lianwen Jin; Jingdong Chen
,,,,,,,104,104a,6684,Towards End-to-End Unified Scene Text Detection and Layout Analysis,Shangbang Long; Siyang Qin; Dmitry Panteleev; Alessandro Bissacco; Yasuhisa Fujii; Michalis Raptis
,,,,,,,105,105a,4513,Clothes-Changing Person Re-Identification With RGB Modality Only,Xinqian Gu; Hong Chang; Bingpeng Ma; Shutao Bai; Shiguang Shan; Xilin Chen
,,,,,,,106,106a,1109,MonoJSG: Joint Semantic and Geometric Cost Volume for Monocular 3D Object Detection,Qing Lian; Peiliang Li; Xiaozhi Chen
,,,,,,,107,107a,4104,Homography Loss for Monocular 3D Object Detection,Jiaqi Gu; Bojian Wu; Lubin Fan; Jianqiang Huang; Shen Cao; Zhiyu Xiang; Xian-Sheng Hua
,,,,,,,108,108a,3888,TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection With Transformers,Xuyang Bai; Zeyu Hu; Xinge Zhu; Qingqiu Huang; Yilun Chen; Hongbo Fu; Chiew-Lan Tai
,,,,,,,109,109a,4689,TWIST: Two-Way Inter-Label Self-Training for Semi-Supervised 3D Instance Segmentation,Ruihang Chu; Xiaoqing Ye; Zhengzhe Liu; Xiao Tan; Xiaojuan Qi; Chi-Wing Fu; Jiaya Jia
,,,,,,,110,110a,2736,RBGNet: Ray-Based Grouping for 3D Object Detection,Haiyang Wang; Shaoshuai Shi; Ze Yang; Rongyao Fang; Qi Qian; Hongsheng Li; Bernt Schiele; Liwei Wang
,,,,,,,111,111a,3001,Voxel Field Fusion for 3D Object Detection,Yanwei Li; Xiaojuan Qi; Yukang Chen; Liwei Wang; Zeming Li; Jian Sun; Jiaya Jia
,,,,,,,112,112a,4861,Learning To Detect Mobile Objects From LiDAR Scans Without Labels,Yurong You; Katie Luo; Cheng Perng Phoo; Wei-Lun Chao; Wen Sun; Bharath Hariharan; Mark Campbell; Kilian Q. Weinberger
,,,,,,,113,113a,2515,OccAM’s Laser: Occlusion-Based Attribution Maps for 3D Object Detectors on LiDAR Data,David Schinagl; Georg Krispel; Horst Possegger; Peter M. Roth; Horst Bischof
,,,,,,,114,114a,3828,Confidence Propagation Cluster: Unleash Full Potential of Object Detectors,Yichun Shen; Wanli Jiang; Zhen Xu; Rundong Li; Junghyun Kwon; Siyi Li
,,,,,,,115,115a,11695,TransGeo: Transformer Is All You Need for Cross-View Image Geo-Localization,Sijie Zhu; Mubarak Shah; Chen Chen
,,,,,,,116,116a,2805,A Voxel Graph CNN for Object Classification With Event Cameras,Yongjian Deng; Hao Chen; Hai Liu; Youfu Li
,,,,,,,117,117a,7872,OSKDet: Orientation-Sensitive Keypoint Localization for Rotated Object Detection,Dongchen Lu; Dongmei Li; Yali Li; Shengjin Wang
,,,,,,,118,118a,5148,Canonical Voting: Towards Robust Oriented Bounding Box Detection in 3D Scenes,Yang You; Zelin Ye; Yujing Lou; Chengkun Li; Yong-Lu Li; Lizhuang Ma; Weiming Wang; Cewu Lu
,,"Segmentation, Grouping and Shape Analysis",,,,,119,119a,3079,Category Contrast for Unsupervised Domain Adaptation in Visual Tasks,Jiaxing Huang; Dayan Guan; Aoran Xiao; Shijian Lu; Ling Shao
,,,,,,,120,120a,3504,Amodal Segmentation Through Out-of-Task and Out-of-Distribution Generalization With a Bayesian Model,Yihong Sun; Adam Kortylewski; Alan Yuille
,,,,,,,121,121a,4055,GANSeg: Learning To Segment by Unsupervised Hierarchical Image Generation,Xingzhe He; Bastian Wandt; Helge Rhodin
,,,,,,,122,122a,8638,Segment-Fusion: Hierarchical Context Fusion for Robust 3D Semantic Segmentation,Anirud Thyagharajan; Benjamin Ummenhofer; Prashant Laddha; Om Ji Omer; Sreenivas Subramoney
,,,,,,,123,123a,8609,Deep Hierarchical Semantic Segmentation,Liulei Li; Tianfei Zhou; Wenguan Wang; Jianwu Li; Yi Yang
,,,,,,,124,124a,1751,Semantic Segmentation by Early Region Proxy,Yifan Zhang; Bo Pang; Cewu Lu
,,,,,,,125,125a,7688,"Panoptic, Instance and Semantic Relations: A Relational Context Encoder To Enhance Panoptic Segmentation",Shubhankar Borse; Hyojin Park; Hong Cai; Debasmit Das; Risheek Garrepalli; Fatih Porikli
,,,,,,,126,126a,3004,Panoptic SegFormer: Delving Deeper Into Panoptic Segmentation With Transformers,Zhiqi Li; Wenhai Wang; Enze Xie; Zhiding Yu; Anima Anandkumar; Jose M. Alvarez; Ping Luo; Tong Lu
,,,,,,,127,127a,43,Masked-Attention Mask Transformer for Universal Image Segmentation,Bowen Cheng; Ishan Misra; Alexander G. Schwing; Alexander Kirillov; Rohit Girdhar
,,,,,,,128,128a,3422,FocalClick: Towards Practical Interactive Image Segmentation,Xi Chen; Zhiyan Zhao; Yilei Zhang; Manni Duan; Donglian Qi; Hengshuang Zhao
,,,,,,,129,129a,4751,High Quality Segmentation for Ultra High-Resolution Images,Tiancheng Shen; Yuechen Zhang; Lu Qi; Jason Kuen; Xingyu Xie; Jianlong Wu; Zhe Lin; Jiaya Jia
,,,,,,,130,130a,4199,Wnet: Audio-Guided Video Object Segmentation via Wavelet-Based Cross-Modal Denoising Networks,Wenwen Pan; Haonan Shi; Zhou Zhao; Jieming Zhu; Xiuqiang He; Zhigeng Pan; Lianli Gao; Jun Yu; Fei Wu; Qi Tian
,,,,,,,131,131a,2811,Recurrent Dynamic Embedding for Video Object Segmentation,Mingxing Li; Li Hu; Zhiwei Xiong; Bang Zhang; Pan Pan; Dong Liu
,,,,,,,132,132a,6177,Accelerating Video Object Segmentation With Compressed Video,Kai Xu; Angela Yao
,,,,,,,133,133a,5652,Per-Clip Video Object Segmentation,Kwanyong Park; Sanghyun Woo; Seoung Wug Oh; In So Kweon; Joon-Young Lee
,,,,,,,134,134a,8692,SWEM: Towards Real-Time Video Object Segmentation With Sequential Weighted Expectation-Maximization,Zhihui Lin; Tianyu Yang; Maomao Li; Ziyu Wang; Chun Yuan; Wenhao Jiang; Wei Liu
,,,,,,,135,135a,3000,Neural Recognition of Dashed Curves With Gestalt Law of Continuity,Hanyuan Liu; Chengze Li; Xueting Liu; Tien-Tsin Wong
,,,,,,,136,136a,7894,CVNet: Contour Vibration Network for Building Extraction,Ziqiang Xu; Chunyan Xu; Zhen Cui; Xiangwei Zheng; Jian Yang
,,,,,,,137,137a,571,A Keypoint-Based Global Association Network for Lane Detection,Jinsheng Wang; Yinchao Ma; Shaofei Huang; Tianrui Hui; Fei Wang; Chen Qian; Tianzhu Zhang
,,,,,,,138,138a,169,EDTER: Edge Detection With Transformer,Mengyang Pu; Yaping Huang; Yuming Liu; Qingji Guan; Haibin Ling
,,,,,,,139,139a,889,Fixing Malfunctional Objects With Learned Physical Simulation and Functional Prediction,Yining Hong; Kaichun Mo; Li Yi; Leonidas J. Guibas; Antonio Torralba; Joshua B. Tenenbaum; Chuang Gan
,,,,,,,140,140a,8899,Coherent Point Drift Revisited for Non-Rigid Shape Matching and Registration,Aoxiang Fan; Jiayi Ma; Xin Tian; Xiaoguang Mei; Wei Liu
,,,,,,,141,141a,1839,CodedVTR: Codebook-Based Sparse Voxel Transformer With Geometric Guidance,Tianchen Zhao; Niansong Zhang; Xuefei Ning; He Wang; Li Yi; Yu Wang
,,,,,,,142,142a,8783,FLOAT: Factorized Learning of Object Attributes for Improved Multi-Object Multi-Part Scene Parsing,Rishubh Singh; Pranav Gupta; Pradeep Shenoy; Ravikiran Sarvadevabhatla
,,,,,,,143,143a,1958,Rotationally Equivariant 3D Object Detection,Hong-Xing Yu; Jiajun Wu; Li Yi
,,,,,,,144,144a,1869,AUV-Net: Learning Aligned UV Maps for Texture Transfer and Synthesis,Zhiqin Chen; Kangxue Yin; Sanja Fidler
,,3D From Single Images,,,,,145,145a,5637,Learning To Estimate Robust 3D Human Mesh From In-the-Wild Crowded Scenes,Hongsuk Choi; Gyeongsik Moon; JoonKyu Park; Kyoung Mu Lee
,,,,,,,146,146a,6016,Human Mesh Recovery From Multiple Shots,Georgios Pavlakos; Jitendra Malik; Angjoo Kanazawa
,,,,,,,147,147a,4764,HandOccNet: Occlusion-Robust 3D Hand Mesh Estimation Network,JoonKyu Park; Yeonguk Oh; Gyeongsik Moon; Hongsuk Choi; Kyoung Mu Lee
,,,,,,,148,148a,2851,Photorealistic Monocular 3D Reconstruction of Humans Wearing Clothing,Thiemo Alldieck; Mihai Zanfir; Cristian Sminchisescu
,,,,,,,149,149a,2842,Disentangled3D: Learning a 3D Generative Model With Disentangled Geometry and Appearance From Monocular Images,Ayush Tewari; Mallikarjun B R; Xingang Pan; Ohad Fried; Maneesh Agrawala; Christian Theobalt
,,,,,,,150,150a,9038,NeuralHDHair: Automatic High-Fidelity Hair Modeling From a Single Image Using Implicit Neural Representations,Keyu Wu; Yifan Ye; Lingchen Yang; Hongbo Fu; Kun Zhou; Youyi Zheng
,,,,,,,151,151a,7777,Topologically-Aware Deformation Fields for Single-View 3D Reconstruction,Shivam Duggal; Deepak Pathak
,,,,,,,152,152a,7804,Generating Diverse 3D Reconstructions From a Single Occluded Face Image,Rahul Dey; Vishnu Naresh Boddeti
,,,,,,,153,153a,1793,LOLNerf: Learn From One Look,Daniel Rebain; Mark Matthews; Kwang Moo Yi; Dmitry Lagun; Andrea Tagliasacchi
,,,,,,,154,154a,4667,Learning Local Displacements for Point Cloud Completion,Yida Wang; David Joseph Tan; Nassir Navab; Federico Tombari
,,,,,,,155,155a,11932,Exploiting Pseudo Labels in a Self-Supervised Learning Framework for Improved Monocular Depth Estimation,Andra Petrovai; Sergiu Nedevschi
